128,19,59
159,19,82
191,19,106
179,19,143
167,19,181
128,19,181
88,19,181
76,19,143
64,19,106
96,19,82
128,45,36
159,40,49
191,40,72
214,45,98
211,40,133
199,40,170
181,44,200
147,39,208
108,39,208
74,44,200
56,39,170
44,40,133
41,45,98
64,40,72
96,40,49
128,71,13
159,66,26
191,61,39
214,66,65
236,71,91
233,65,126
231,60,160
213,65,189
195,70,219
161,65,227
128,60,235
94,65,227
60,70,219
42,65,189
24,60,160
22,65,126
19,71,91
41,66,65
64,61,39
96,66,26
147,100,9
179,94,22
211,94,45
233,99,72
246,99,109
243,94,143
231,94,181
222,99,210
181,98,234
147,93,242
108,93,242
74,98,234
42,99,210
24,94,181
12,94,143
9,99,109
22,99,72
44,94,45
76,94,22
108,100,9
128,128,6
167,128,6
199,128,29
231,128,52
243,128,89
255,128,127
243,127,164
231,127,202
199,127,225
167,127,248
128,127,248
88,127,248
56,127,225
24,127,202
12,127,164
0,128,127
12,128,89
24,128,52
56,128,29
88,128,6
147,162,12
181,157,20
213,156,43
231,161,73
243,161,110
246,156,145
233,156,182
211,161,208
179,161,232
147,155,245
108,155,245
76,161,232
44,161,208
22,156,182
9,156,145
12,161,110
24,161,73
42,156,43
74,157,20
108,162,12
128,195,19
161,190,27
195,185,35
213,190,64
231,195,94
233,190,128
236,184,162
214,189,189
191,194,215
159,189,228
128,184,241
96,189,228
64,194,215
41,189,189
19,184,162
22,190,128
24,195,94
42,190,64
60,185,35
94,190,27
147,216,46
181,211,54
199,215,83
211,215,121
214,210,155
191,215,182
159,215,205
128,210,218
96,215,205
64,215,182
41,210,155
44,215,121
56,215,83
74,211,54
108,216,46
128,236,73
167,236,73
179,236,111
191,236,148
159,236,171
128,236,194
96,236,171
64,236,148
76,236,111
88,236,73
147,246,100
159,245,138
128,245,161
96,245,138
108,246,100
128,255,128
